epoch,lr-Adam,step,train/delta_theta_l_mean,train/delta_theta_w_mean,train/loss,train/share_coord,train/share_lattice,train/share_type,train/sigma_z_mean,val/delta_theta_l_mean,val/delta_theta_w_mean,val/loss,val/share_coord,val/share_lattice,val/share_type,val/sigma_z_mean
,0.0001,0,,,,,,,,,,,,,,
,0.0001,9,,,,,,,,,,,,,,
0,,9,0.9857686161994934,1.1808222532272339,0.9360318779945374,0.07120124995708466,0.8279610276222229,0.10083769261837006,0.3921809494495392,,,,,,,
,0.0001,19,,,,,,,,,,,,,,
0,,19,0.9908389449119568,1.1845312118530273,0.6932216882705688,0.4090784192085266,0.36362525820732117,0.22726579010486603,0.4999627470970154,,,,,,,
,0.0001,29,,,,,,,,,,,,,,
0,,29,0.19541311264038086,0.7630637288093567,0.6133763790130615,0.27857914566993713,0.22543279826641083,0.4959879517555237,0.5415194034576416,,,,,,,
,0.0001,39,,,,,,,,,,,,,,
0,,39,1.0776581764221191,1.2115122079849243,0.6607001423835754,0.81574946641922,0.13923606276512146,0.04501434788107872,0.516489565372467,,,,,,,
,0.0001,49,,,,,,,,,,,,,,
0,,49,0.18525750935077667,0.3496003746986389,0.5859768390655518,0.11184239387512207,0.792563259601593,0.09559427946805954,0.5565618872642517,,,,,,,
,0.0001,59,,,,,,,,,,,,,,
0,,59,1.3756952285766602,0.9295395612716675,0.6520513892173767,0.22582170367240906,0.5099011063575745,0.2642771005630493,0.5209759473800659,,,,,,,
,0.0001,69,,,,,,,,,,,,,,
0,,69,0.7054558992385864,1.2447000741958618,0.5337894558906555,0.31961870193481445,0.4814668893814087,0.19891440868377686,0.5863786935806274,,,,,,,
,0.0001,79,,,,,,,,,,,,,,
0,,79,1.2121977806091309,2.014183759689331,0.6929981708526611,0.1777707040309906,0.7110828161239624,0.11110668629407883,0.5000745058059692,,,,,,,
,0.0001,89,,,,,,,,,,,,,,
0,,89,0.8866913914680481,1.203376054763794,0.6966251730918884,0.7259196043014526,0.03017307072877884,0.24390658736228943,0.49826404452323914,,,,,,,
,0.0001,99,,,,,,,,,,,,,,
