epoch,lr-Adam,step,train/delta_theta_l_mean,train/delta_theta_w_mean,train/loss,train/share_coord,train/share_lattice,train/share_type,train/sigma_z_mean,val/delta_theta_l_mean,val/delta_theta_w_mean,val/loss,val/share_coord,val/share_lattice,val/share_type,val/sigma_z_mean
,0.0001,0,,,,,,,,,,,,,,
,0.0001,9,,,,,,,,,,,,,,
0,,9,0.9857591390609741,1.1808229684829712,0.7384542226791382,0.06938427686691284,0.8309305310249329,0.09968514740467072,0.4778520166873932,,,,,,,
,0.0001,19,,,,,,,,,,,,,,
0,,19,0.9908389449119568,1.1845310926437378,0.6931561231613159,0.4306803047657013,0.33839166164398193,0.2307215929031372,0.49999552965164185,,,,,,,
,0.0001,29,,,,,,,,,,,,,,
0,,29,0.19542504847049713,0.7630685567855835,0.6762902140617371,0.29783540964126587,0.24737989902496338,0.4547843635082245,0.5084999203681946,,,,,,,
,0.0001,39,,,,,,,,,,,,,,
0,,39,1.0776690244674683,1.2115014791488647,0.6854996085166931,0.7993336915969849,0.15728974342346191,0.04337619990110397,0.5038384795188904,,,,,,,
,0.0001,49,,,,,,,,,,,,,,
0,,49,0.18550829589366913,0.349595308303833,0.6582630276679993,0.08092550933361053,0.8504278063774109,0.06864658743143082,0.5177498459815979,,,,,,,
,0.0001,59,,,,,,,,,,,,,,
0,,59,1.3757312297821045,0.9295412302017212,0.6830863952636719,0.2480381429195404,0.5199146866798401,0.2320469617843628,0.5050557851791382,,,,,,,
,0.0001,69,,,,,,,,,,,,,,
0,,69,0.7055025696754456,1.2445869445800781,0.6511752009391785,0.36930903792381287,0.5184467434883118,0.1122441366314888,0.521432638168335,,,,,,,
,0.0001,79,,,,,,,,,,,,,,
0,,79,1.2121977806091309,2.01418399810791,0.693129301071167,0.24735422432422638,0.49470844864845276,0.2576606571674347,0.5000089406967163,,,,,,,
,0.0001,89,,,,,,,,,,,,,,
0,,89,0.8866556286811829,1.203396201133728,0.6966431140899658,0.8920804858207703,0.01170898787677288,0.0962093397974968,0.49825504422187805,,,,,,,
,0.0001,99,,,,,,,,,,,,,,
