epoch,lr-Adam,step,train/delta_theta_l_mean,train/delta_theta_w_mean,train/loss,train/share_coord,train/share_lattice,train/share_type,train/sigma_z_mean,val/delta_theta_l_mean,val/delta_theta_w_mean,val/loss,val/share_coord,val/share_lattice,val/share_type,val/sigma_z_mean
,0.0001,0,,,,,,,,,,,,,,
,0.0001,9,,,,,,,,,,,,,,
0,,9,0.9857795834541321,1.1808198690414429,1.2149591445922852,0.07409774512052536,0.8233619332313538,0.10254029929637909,0.2967221140861511,,,,,,,
,0.0001,19,,,,,,,,,,,,,,
0,,19,0.9908389449119568,1.1845309734344482,0.6931769847869873,0.34567326307296753,0.4691280126571655,0.1851821094751358,0.49998509883880615,,,,,,,
,0.0001,29,,,,,,,,,,,,,,
0,,29,0.19540107250213623,0.7630706429481506,0.5484351515769958,0.2500867545604706,0.2215372920036316,0.5283759236335754,0.5778533220291138,,,,,,,
,0.0001,39,,,,,,,,,,,,,,
0,,39,1.0776311159133911,1.211531400680542,0.6512094736099243,0.7618506550788879,0.1643955260515213,0.07375375926494598,0.5214147567749023,,,,,,,
,0.0001,49,,,,,,,,,,,,,,
0,,49,0.1850963979959488,0.34961003065109253,0.5613358020782471,0.15677285194396973,0.7194422483444214,0.12378492206335068,0.5704465508460999,,,,,,,
,0.0001,59,,,,,,,,,,,,,,
0,,59,1.3756556510925293,0.9295381307601929,0.6303707361221313,0.19673924148082733,0.4389709532260895,0.36428970098495483,0.5323943495750427,,,,,,,
,0.0001,69,,,,,,,,,,,,,,
0,,69,0.7054340839385986,1.244775414466858,0.4371781647205353,0.27229154109954834,0.4446345567703247,0.2830738425254822,0.6458563208580017,,,,,,,
,0.0001,79,,,,,,,,,,,,,,
0,,79,1.2121977806091309,2.01418399810791,0.6929684281349182,0.1481407880783081,0.2962815761566162,0.555527925491333,0.5000894069671631,,,,,,,
,0.0001,89,,,,,,,,,,,,,,
0,,89,0.8866996169090271,1.2033683061599731,0.6921046376228333,0.1912827044725418,0.21385714411735535,0.5948591828346252,0.5005215406417847,,,,,,,
,0.0001,99,,,,,,,,,,,,,,
