epoch,lr-Adam,step,train/delta_theta_l_mean,train/delta_theta_w_mean,train/loss,train/share_coord,train/share_lattice,train/share_type,train/sigma_z_mean,val/delta_theta_l_mean,val/delta_theta_w_mean,val/loss,val/share_coord,val/share_lattice,val/share_type,val/sigma_z_mean
,0.0001,0,,,,,,,,,,,,,,
,0.0001,9,,,,,,,,,,,,,,
0,,9,0.985669732093811,1.1807106733322144,21.59029197692871,0.02825929783284664,0.879385232925415,0.09235550463199615,4.2019934753945165e-10,,,,,,,
,0.0001,19,,,,,,,,,,,,,,
0,,19,0.9908389449119568,1.1845312118530273,0.6968793869018555,0.48351621627807617,0.35164815187454224,0.16483508050441742,0.49813735485076904,,,,,,,
,0.0001,29,,,,,,,,,,,,,,
0,,29,0.19535647332668304,0.7631004452705383,0.002502660732716322,0.07159490883350372,0.11050248146057129,0.8179026246070862,0.997500479221344,,,,,,,
,0.0001,39,,,,,,,,,,,,,,
0,,39,1.077510952949524,1.2115880250930786,2.374570369720459,0.4462076723575592,0.037675391882658005,0.5161169767379761,0.09305446594953537,,,,,,,
,0.0001,49,,,,,,,,,,,,,,
0,,49,0.18491719663143158,0.34958118200302124,0.03506330028176308,0.23546986281871796,0.5691839456558228,0.19534620642662048,0.9655442833900452,,,,,,,
,0.0001,59,,,,,,,,,,,,,,
0,,59,1.3756684064865112,0.9295404553413391,0.029611418023705482,0.14035548269748688,0.688246488571167,0.1713980734348297,0.9708226919174194,,,,,,,
,0.0001,69,,,,,,,,,,,,,,
0,,69,0.7052559852600098,1.2449859380722046,0.004947966895997524,0.19468358159065247,0.28925222158432007,0.5160642266273499,0.9950643181800842,,,,,,,
,0.0001,79,,,,,,,,,,,,,,
0,,79,1.2121977806091309,2.014183759689331,0.6857243776321411,0.24242404103279114,0.6060600876808167,0.15151502192020416,0.5037252306938171,,,,,,,
,0.0001,89,,,,,,,,,,,,,,
0,,89,0.8866698145866394,1.2033747434616089,1.2085543870925903,0.7374749183654785,0.1745382696390152,0.08798687160015106,0.29862868785858154,,,,,,,
,0.0001,99,,,,,,,,,,,,,,
